keyword,cluster,url,search_intent,difficulty
bible story songs creation,bible_stories,/songs/bible-story-songs-creation,informational,low
bible story songs adam and eve,bible_stories,/songs/bible-story-songs-adam-and-eve,informational,low
bible story songs noah's ark,bible_stories,/songs/bible-story-songs-noahs-ark,informational,medium
bible story songs abraham,bible_stories,/songs/bible-story-songs-abraham,informational,low
bible story songs moses,bible_stories,/songs/bible-story-songs-moses,informational,low
bible story songs david and goliath,bible_stories,/songs/bible-story-songs-david-and-goliath,informational,medium
bible story songs daniel,bible_stories,/songs/bible-story-songs-daniel,informational,low
bible story songs jonah,bible_stories,/songs/bible-story-songs-jonah,informational,medium
bible story songs esther,bible_stories,/songs/bible-story-songs-esther,informational,low
bible story songs ruth,bible_stories,/songs/bible-story-songs-ruth,informational,low
bible story songs joshua,bible_stories,/songs/bible-story-songs-joshua,informational,low
bible story songs jesus birth,bible_stories,/songs/bible-story-songs-jesus-birth,informational,medium
bible story songs jesus miracles,bible_stories,/songs/bible-story-songs-jesus-miracles,informational,low
bible story songs jesus parables,bible_stories,/songs/bible-story-songs-jesus-parables,informational,low
bible story songs jesus crucifixion,bible_stories,/songs/bible-story-songs-jesus-crucifixion,informational,low
bible story songs jesus resurrection,bible_stories,/songs/bible-story-songs-jesus-resurrection,informational,medium
bible story songs disciples,bible_stories,/songs/bible-story-songs-disciples,informational,low
bible story songs paul,bible_stories,/songs/bible-story-songs-paul,informational,low
bible story songs peter,bible_stories,/songs/bible-story-songs-peter,informational,low
bible story songs old testament,bible_stories,/songs/bible-story-songs-old-testament,informational,low
bible story songs new testament,bible_stories,/songs/bible-story-songs-new-testament,informational,low
worship songs with motions for kids,motions,/songs/worship-songs-with-motions-for-kids,informational,medium
worship songs with motions for toddlers,motions,/songs/worship-songs-with-motions-for-toddlers,informational,medium
worship songs with motions for preschoolers,motions,/songs/worship-songs-with-motions-for-preschoolers,informational,medium
worship songs with motions youtube,motions,/songs/worship-songs-with-motions-youtube,informational,medium
worship songs with motions videos,motions,/songs/worship-songs-with-motions-videos,informational,medium
worship songs with motions instructions,motions,/songs/worship-songs-with-motions-instructions,informational,low
worship songs with motions tutorial,motions,/songs/worship-songs-with-motions-tutorial,informational,low
worship songs with motions easy,motions,/songs/worship-songs-with-motions-easy,informational,medium
worship songs with motions simple,motions,/songs/worship-songs-with-motions-simple,informational,medium
worship songs with motions fun,motions,/songs/worship-songs-with-motions-fun,informational,low
worship songs with motions interactive,motions,/songs/worship-songs-with-motions-interactive,informational,low
worship songs with motions energetic,motions,/songs/worship-songs-with-motions-energetic,informational,low
worship songs with motions calming,motions,/songs/worship-songs-with-motions-calming,informational,low
worship songs with actions for kids,motions,/songs/worship-songs-with-actions-for-kids,informational,medium
worship songs with actions for toddlers,motions,/songs/worship-songs-with-actions-for-toddlers,informational,medium
worship songs with actions youtube,motions,/songs/worship-songs-with-actions-youtube,informational,medium
worship songs with actions videos,motions,/songs/worship-songs-with-actions-videos,informational,medium
worship songs with sign language,motions,/songs/worship-songs-with-sign-language,informational,low
worship songs with hand motions,motions,/songs/worship-songs-with-hand-motions,informational,low
worship songs with body movements,motions,/songs/worship-songs-with-body-movements,informational,low
worship songs with dancing,motions,/songs/worship-songs-with-dancing,informational,low
worship songs with clapping,motions,/songs/worship-songs-with-clapping,informational,low
worship songs with stomping,motions,/songs/worship-songs-with-stomping,informational,low
worship songs with jumping,motions,/songs/worship-songs-with-jumping,informational,low
worship songs with stretching,motions,/songs/worship-songs-with-stretching,informational,low
worship songs with finger plays,motions,/songs/worship-songs-with-finger-plays,informational,low
worship songs with gestures,motions,/songs/worship-songs-with-gestures,informational,low
action songs for sunday school,motions,/activities/action-songs-for-sunday-school,informational,medium
movement songs for church,motions,/activities/movement-songs-for-church,informational,low
