Song Number,Song Title,Album,Year,Scripture Reference,Webpage URL,Spotify Link,Description,Publication Date,Duration,Target Age Group,Musical Style,Lyrics
128,The Light Of The World,Seeds of Faith,2004,John 8:12,https://seedskidsworship.com/product/the-light-of-the-world-john-812-2/,https://open.spotify.com/track/4cGUwuovJ9bGuOptAugBio,Bright song declaring Jesus as the light of the world from John 8:12,04-01-2004,2:40,Ages 5-12,Light & Truth,"Verse:
Jesus said, I am the light of the world
Jesus said, I am the light of the world
Whoever follows me will never walk in darkness
But will have...
Chorus:
The light of life
The light of life
The light of life
The light of life
Bridge:
John eight one
John eight one two
John 8:12
Repeat Verse
Repeat Chorus
Repeat Bridge
Repeat Chorus
Repeat Bridge
"
145,They Will See God,Seeds of Faith,2004,Matthew 5:8,https://seedskidsworship.com/product/they-will-see-god-matthew-58-2/,https://open.spotify.com/track/5xfriiMriA6Od3o3U7xuRJ,Beatitude song about the pure in heart seeing God from Matthew 5:8,04-01-2004,2:04,Ages 5-12,Purity & Vision,"Verse:
Blessed are the pure in heart
Blessed are the pure in heart
Blessed are the pure in heart
For they will see God
Chorus:
Blessed, blessed, blessed
For they will see God
Blessed, blessed, blessed
For they will see God
Repeat Verse (2x)
Repeat Chorus"
68,Hey Man,Seeds of Faith / Seeds of Easter EP,2004,Romans 5:8 & 6:23,https://seedskidsworship.com/product/hey-man-romans-58-623/,https://open.spotify.com/track/6i0fv8j6eC18Dzpi0nqp1P,Gospel message song about God's love and the gift of eternal life from Romans 5:8 & 6:23,03/09/2004,2:36,All Ages,Gospel Message,"Verse:
God demonstrates his own love for us in this:
While we were still sinners, Christ died for us
Hey man, hey man
God demonstrates his own love for us in this:
While we were still sinners, Christ died for us
Hey man, hey man
Chorus:
For the wages of sin is death
But the gift of God is eternal life
In Christ Jesus our Lord
Hey man, hey man
For the wages of sin is death
But the gift of God is eternal life
In Christ Jesus our Lord
Hey man, hey man
Bridge:
He who calls on the name of the Lord will be saved
He who calls on the name of the Lord will be saved
He who calls on the name of the Lord will be saved
He who calls on the name of the Lord will be saved
Will be saved"
91,New Creation,Seeds of Faith / Seeds of Easter EP,2004,2 Corinthians 5:17,https://seedskidsworship.com/product/new-creation-2-corinthians-517-3/,https://open.spotify.com/track/4deAKdB3AGrcbEezdlsZNR,Peaceful lullaby from Psalm 62:1–2 that comforts children with the truth that rest and salvation come from God alone.,12/10/2015,3:24,Ages 0-8,Peaceful Lullaby,"Verse:
If anyone is in Christ
He is a new creation
He is a new creation
If anyone is in Christ
He is a new creation
He is a new creation
Chorus:
The old has gone
The new has come
He is a new creation
He is a new creation
The old has gone
The new has come
If anyone is in Christ
He is a new creation
Repeat Verse
Repeat Chorus
"
10,Amen,Seeds of Praise,2005,Revelation 7:10 & 12,https://seedskidsworship.com/product/seeds-of-praise-vol-3/,https://open.spotify.com/track/6sXiIX088mssEVepPbwVFH,Worship song of praise declaring salvation belongs to God with heavenly acclamation,09/13/2005,3:48,Ages 3-12,Praise & Worship,"Salvation belongs to our God  
Salvation belongs to our God  
Salvation belongs to our God  
Who sits on the throne  
And to the Lamb  

Amen!  
Praise and glory  
And wisdom and thanks and honor and power and strength  
Be to our God  
Forever and ever  
Forever and ever  
Amen!  
Amen!  
Amen!  
Salvation belongs to our God  
Revelation 7:10 and 12  
Revelation 7:10 and 12"
13,Better Than Life,Seeds of Praise,2005,Psalm 63:1-4,https://seedskidsworship.com/product/seeds-of-praise-vol-3/,https://open.spotify.com/track/2ffYohAPaNxdWdoJMG0Wbe,Worship song celebrating God's love as better than life itself from Psalm 63,09/13/2005,4:22,Ages 3-12,Praise & Worship,"Oh God, you are my God  
Earnestly I seek you  
My soul thirsts for you  
My body longs for you  
In a dry and weary land  
Where there is no water  

I have seen you in the sanctuary  
And beheld your power and your glory  
Because your love is better than life  
My lips will glorify you  

I will praise you as long as I live  
And in your name I will lift up my hands  
O God, you are my God  
O God, you are my God  
"
69,His Love Endures,Seeds of Praise,2005,"Psalm 136:1–6, 26",https://seedskidsworship.com/product/his-love-endures-psalm-1361-6-26/,https://open.spotify.com/track/5KtqKYgz6wjfyuTQfkklCE,Thanksgiving song declaring that God's love endures forever from Psalm 136:1-6 26,09/13/2005,3:22,Ages 3-12,Praise & Worship,"Give thanks to the Lord, for he is good  
His love endures forever  
Give thanks to the God of gods  
His love endures forever  
Give thanks to the Lord of lords  
His love endures  
His love endures  
His love endures forever  

To him who alone does great wonders  
His love endures forever  
Who by his understanding made the heavens  
His love endures forever  
Who spread out the earth upon the waters  
Give thanks to the God of heaven  
His love endures
"
87,Mighty To Save,Seeds of Praise,2005,Zephaniah 3:17,https://seedskidsworship.com/product/mighty-to-save-zephaniah-317/,https://open.spotify.com/track/6A6OZkPlR9jWTmuUQXzwCP,Powerful song declaring God as mighty to save and rejoicing over us from Zephaniah 3:17,09/13/2005,2:24,All Ages,Praise & Worship,"The Lord your God is with you  
He is mighty to save  
The Lord your God is with you  
He is mighty to save  
The Lord your God is with you  
He is mighty to save  
The Lord your God is with you  

He will take great delight in you  
He will quiet you with his love  
He will rejoice over you with singing  
The Lord your God is with you  
"
102,Praise The Lord,Seeds of Praise,2005,Psalm 148:1–5,https://seedskidsworship.com/product/praise-the-lord-psalm-1451-5/,https://open.spotify.com/track/1pp8NvMfX4Xf2TzS1keWIt,Joyful praise song encouraging all creation to praise the Lord from Psalm 148:1-5,2005-08-01,3:01,All Ages,Praise & Worship,"Praise the Lord  
Praise the Lord from the heavens  
Praise him in the heights above  
Praise him, all his angels  
Praise, him all his heavenly hosts  
Praise him, sun and moon  
Praise him, all you shining stars  
Praise him, you highest heavens  
And you waters above the skies  

Let them praise the name of the Lord  
Let them praise the name of the Lord  
For he commanded and they were created  
Yeah, yeah, yeah  
For he commanded and they were created  
Yeah, yeah, yeah  

Praise the Lord  
Praise the Lord from the heavens  
Praise him in the heights above  
Praise him, all his angels  
Praise, him all his heavenly hosts  

Praise him, yeah, praise him, yeah, praise him, yeah, yeah, yeah  
Praise him, yeah, praise him, yeah, praise him, yeah, yeah, yeah  

Let them praise the name of the Lord  
Let them praise the name of the Lord  

Praise him, yeah, praise him, yeah, praise him, yeah, yeah, yeah  
Praise him, yeah, praise him, yeah, praise him, yeah, yeah, yeah  
Praise him, praise him, praise him, praise him, praise him  
Praise him, praise him, praise him, praise him, praise him  

Praise the Lord!
"
111,Shout,Seeds of Praise,2005,Psalm 100:1–3,https://seedskidsworship.com/product/shout-psalm-1001-3/,https://open.spotify.com/track/5niGMG7Ui0vvm5YcP77oxq,High-energy praise song calling children to shout joyfully to the Lord from Psalm 100:1-3,08-01-2005,2:37,Ages 4-10,Praise & Worship,"Li-de-di-le-li-de-li-li-li  
Li-de-di-le-li-de-li-li-li  
Li-de-di-le-li-de-li-li-li  
Li-de-di-le-li-de-li-li  

Shout for joy to the Lord, all the earth  
Worship the Lord with gladness  
Come before him with joyful songs  
Know that the Lord is God  

It is he who made us, and we are his  
We are his people, the sheep of his pasture  
"
113,Sing For Joy,Seeds of Praise,2005,Psalm 95:1–4,https://seedskidsworship.com/product/sing-for-joy-psalm-951-4-3/,https://open.spotify.com/track/5Fe4kiTa6O5TOiGVbs1Kw2,Joyful worship song encouraging children to sing for joy to the Rock of salvation from Psalm 95:1-4,08-01-2005,3:19,Ages 4-10,Praise & Joy,"Come, let us sing for joy to the Lord  
Let us shout aloud to the Rock of our salvation  
Come, let us sing for joy to the Lord  
Let us shout aloud to the Rock of our salvation  

Let us come before him with thanksgiving  
And extol him with music and song  
For the Lord is the great God  
The great King above all gods  
In his hands are the depths of the earth  
And the mountain peaks belong to him  
Come let us sing for joy to the Lord  
Shout for joy  
Sing for joy
"
114,Sing Praise To Him,Seeds of Praise,2005,1 Chronicles 16:9–10,https://seedskidsworship.com/product/sing-praise-to-him-1-chronicles-169/,https://open.spotify.com/track/7BETX6JM6RASePp1HVFQH6,Uplifting praise song teaching children to sing praise and glory in God's holy name from 1 Chronicles 16:9-10,08-01-2005,2:32,Ages 5-10,Praise & Worship,"Sing to him, sing praise to him  
Tell of all his wonderful acts  
Sing praise to him  
Sing to him, sing praise to him  
Tell of all his wonderful acts  
Sing praise to him  

Glory in his holy name  
Glory in his holy name  
Let the hearts of those who seek the Lord rejoice  
Sing to him, sing praise to him  
Oh, yeah  
Sing praise  
Sing praise
"
130,The Mouth,Seeds of Praise,2005,Matthew 12:34,https://seedskidsworship.com/product/the-mouth-matthew-1234-2/,https://open.spotify.com/track/7dd1yg3RpbGUMk1hmo1pVr,Teaching song about speaking from the abundance of the heart from Matthew 12:34,08-01-2005,2:08,Ages 6-12,Speech & Heart,"The mouth  
The mouth  
Out of the overflow of the heart  
The mouth speaks (the mouth speaks)  

The mouth  
The mouth  
Out of the overflow of the heart  
The mouth speaks (the mouth speaks)  
Out of the overflow of the heart  
The mouth speaks  

The mouth speaks  
The mouth speaks 
"
136,The Rock Eternal,Seeds of Praise,2005,Isaiah 26:3–4,https://seedskidsworship.com/product/the-rock-eternal-isaiah-263-4-2/,https://open.spotify.com/track/11mMX5raKWBBYihseq2mgf,Steadfast song about trusting in the Lord as the Rock eternal from Isaiah 26:3-4,08-01-2005,3:10,Ages 5-12,Trust & Stability,"You will keep in perfect peace  
Him whose mind is steadfast  
Because he trusts in you  
Because he trusts in you  
You will keep in perfect peace  
Him whose mind is steadfast  
Because he trusts in you  
Because he trusts in you  

Trust in the Lord forever  
For the Lord, the Lord, is the Rock eternal  
Trust in the Lord forever  
For the Lord, the Lord, is the Rock eternal  
Trust in the Lord forever  
For the Lord, the Lord, is the Rock eternal  
The Rock eternal, the Rock eternal  
Trust in the Lord  "
152,Undivided Heart,Seeds of Praise,2005,Psalm 86:11–13,https://seedskidsworship.com/product/undivided-heart-psalm-8611-13-2/,https://open.spotify.com/track/5kKQTpxCMCajbjdsNA6qDN,Worship song asking for an undivided heart to fear God's name from Psalm 86:11-13,08-01-2005,2:49,Ages 6-12,Heart & Devotion,"Teach me your way, O Lord  
And I will walk in your truth  
Give me an undivided heart  
That I may fear your name  

Teach me your way, O Lord  
And I will walk in your truth  
Give me an undivided heart  
That I may fear your name  
Your name  

I will praise you, O Lord my God  
With all of my heart  
I will glorify your name forever  
For great is your love toward me  
You have delivered me from the depths of the grave  

Teach me your way, O Lord  
Teach me your way  
Teach me your way, O Lord  
Teach me your way  

Teach me your way, O Lord  
And I will walk in your truth  
Give me an undivided heart  
That I may fear your name "
16,Be Still,Seeds of Praise / Lullabies,2005,Psalm 46:10,https://seedskidsworship.com/product/seeds-of-praise-vol-3/,https://open.spotify.com/track/5VMiCu9rNitB05D3ZTM1Rd,Peaceful worship song for meditation and quietness encouraging children to be still and know God,09/13/2005,3:19,All Ages,Peaceful Worship,"Be still and know that I am God  
Be still and know that I am God  
Be still and know that I am God  
And know that I am God  
Be still and know that I am God  
Be still and know that I am God  
Be still and know that I am God  
And know that I am God  
I will be exalted among the nations  
I will be exalted in the earth  
I will be exalted among the nations  
I will be exalted in the earth  
I will be exalted among the nations  
I will be exalted in the earth  
Be still and know that I am God  
Be still and know that I am God  
Be still and know that I am God  
And know that I am God  "
15,Be Joyful Always,Seeds of Purpose,2005,1 Thessalonians 5:16–18,https://seedskidsworship.com/product/joyful-always-1-thessalonians-516-18/,https://open.spotify.com/track/6BKl56Jyg2Wmpym1MZmTRH,Upbeat anthem reminding children to be joyful always pray continually and give thanks in all circumstances,09/13/2005,2:48,All Ages,Joyful Anthem,"Be joyful always  
Pray continually  
Give thanks in all circumstances  
Give thanks in all circumstances  
For this is God’s will for you in Christ Jesus  
For this is God’s will for you in Christ Jesus  
Be joyful always  
Pray continually  
Give thanks in all circumstances  
For this is God’s will for you in Christ Jesus  
Be joyful always  
"
33,Delight Yourself In The Lord,Seeds of Purpose,2005,Psalm 37:4–6,https://seedskidsworship.com/product/seeds-of-purpose-vol-4/,https://open.spotify.com/track/2z0EdG8epuXmLC6W01I4nr,Scripture-based worship song from Psalm 37:4-6 teaching children to delight in the Lord and commit their way to Him. Designed for children's ministry and family worship helping kids memorize God's Word through engaging music and worship.,09/13/2005,3:00,Ages 3-12,Scripture Song,"Delight yourself in the Lord  
And He will give you the desires of your heart  
Commit your way to the Lord  
Trust in Him and He will do this  
He will make your righteousness shine like the dawn  
The justice of your cause like the noonday sun  
Sha-la-la-la  
Delight yourself in the Lord  
And He will give you the desires of your heart"
45,Fishers Of Men,Seeds of Purpose,2005,Matthew 4:18–20,https://seedskidsworship.com/product/fishers-of-men-matthew-418-20/,https://open.spotify.com/track/3OkVq0KvIuNnybpVoTY0vV,"Inspired by Jesus’ call in Matthew 4:18-20, this song invites children to follow Jesus and become fishers of men, sharing His love with others.",09/13/2005,4:12,Ages 3-12,Discipleship & Mission,"As Jesus was walking beside the sea  
The Sea of Galilee  
He saw two brothers  
Simon called Peter and his brother Andrew  
They were casting a net into the lake  
For they were fishermen  
Come follow me, Jesus said  
And I will make you fishers of men  
Come follow me, Jesus said  
And I will make you fishers of men  
"
46,Follow Me,Seeds of Purpose,2005,Matthew 16:24–25,https://seedskidsworship.com/product/follow-me-matthew-1624-25/,https://open.spotify.com/track/1F4An18N624zCFx0JXOA47,"Based on Jesus’ words in Matthew 16:24-25, this song encourages children to deny themselves, take up their cross and follow Him, discovering true life in Christ.",09/13/2005,2:55,Ages 3-12,Discipleship & Commitment,"Then Jesus told His disciples  
If anyone would come after Me  
Let him deny himself and take up his cross and follow Me  
Follow Me, follow Me, follow meeeeeee  
For whoever would save his life will lose it  
But whoever loses his life for My sake  
Will find it, find it  
Lose it, Find it  
Savers are losers, losers are finders  
Savers are losers, losers are finders  "
75,If God Is For Us,Seeds of Purpose,2005,Romans 8:28 & 31,https://seedskidsworship.com/product/if-god-is-for-us-romans-828-31/,https://open.spotify.com/track/6yifgbR02zzH7Aha4QMK3o,Victorious song declaring that if God is for us who can be against us from Romans 8:28 & 31,09/13/2005,2:28,All Ages,Victory & Confidence,"And we know that in all things  
God works for the good of those who love Him  
Who have been called according to His purpose  
If God is for us, who can be against us?  
If God is for us, who can be against us?  
Against us 
"
83,Life And Breath,Seeds of Purpose,2005,Acts 17:24–25,https://seedskidsworship.com/product/life-and-breath-acts-1724-25/,https://open.spotify.com/track/3zJVVIvSOCAdbNSGvzdC1P,Worship song declaring God as the source of life and breath from Acts 17:24-25,09/13/2005,2:40,All Ages,Worship & Creation,"The God who made the world and everything in it  
Is the Lord of heaven and earth  
And does not live in temples built by hands  
And He is not served by human hands  
As if He needed anything  
He Himself gives all men  
Life and breath and everything else  
Everything else"
107,Seek First,Seeds of Purpose,2005,Matthew 6:31–34,https://seedskidsworship.com/product/seek-first-matthew-631-34-2/,https://open.spotify.com/track/60neRLwBBG2IxGRnO7Akz0,Purpose-driven song teaching children to seek God's kingdom first from Matthew 6:31-34,2005-11-01,3:47,Ages 5-12,Purpose & Priority,"So do not worry, saying “What shall we eat?”  
Or “What shall we drink?”  
Or “What shall we wear?”  
For the pagans run after all these things  
And your heavenly Father knows that you need them  
But seek first His kingdom and His righteousness  
And all these things will be given to you as well  
Therefore do not worry about tomorrow  
For tomorrow will worry about itself  
Each day has enough trouble of its own  
Do not worry, do not worry  
For tomorrow will worry about itself "
149,Treasure,Seeds of Purpose,2005,Matthew 6:20–21,https://seedskidsworship.com/product/treasure-matthew-620-21-2/,https://open.spotify.com/track/4mW1ElQKqz1hkGNpdDCxme,Purpose song about storing treasures in heaven from Matthew 6:20-21,11-01-2005,3:56,Ages 6-12,Treasure & Priority,"Store up for yourselves treasures in heaven  
Where moth and rust do not destroy  
And where thieves do not break in and steal  
For where your treasure is  
There your heart will be also  
Where your treasure is  
There your heart will be also "
151,Trust In The Lord,Seeds of Purpose,2005,Proverbs 3:5–6,https://seedskidsworship.com/product/trust-in-the-lord-proverbs-35-6/,https://open.spotify.com/track/5y106ogzc4c8ZcFf8EQBMW,Trust song teaching children to rely on God's understanding from Proverbs 3:5-6,11-01-2005,2:31,Ages 5-12,Trust & Guidance,"Trust in the Lord with all your heart  
And lean not on your own understanding  
In all your ways acknowledge Him  
And He will make your paths straight  
Trust in the Lord with all your heart  
And lean not on your own understanding  
Trust in the Lord  
Trust in the Lord"
27,Children of God,Sing God’s Word,2024,John 1:12,https://seedskidsworship.com/product/sing-gods-word/,https://open.spotify.com/track/7j8EyGnOrsb6xTwWYDFkYJ,Scripture song declaring that those who receive Jesus have the right to become children of God born not of flesh but of God,03/15/2024,2:33,All Ages,Identity & Salvation,"But to all who did receive him  
Who believed in his name  
He gave the right, right to become children of God  
He gave the right, right to become…  

Children of God  
Children of God  
All who believe in His name  
Are children of God  

To all who did receive him  
Who believed in his name  
He gave the right, right to become children of God  

We believe in His name (We’re children of God)  
We believe in His name (We’re children of God) (We’re children of God)  
We believe in His name (We’re children of God)  
We believe in His name"
84,Life in His Name,Sing God’s Word,2024,John 20:31,https://seedskidsworship.com/product/life-in-his-name-john-2031/,https://open.spotify.com/track/4bbwVeEBdnUcVSH7B9u3F1,Gospel song about having life in Jesus' name from John 20:31,03/15/2024,2:26,All Ages,Gospel Message,"But these were written so that you may believe  
That Jesus is the Christ, the Son of God  
But these were written so that you may believe  
That Jesus is the Christ, the Son of God  
And by believing you may have  
Life in His name, life in His name  
By believing, you may have life in His name  
Life in His name, life in His name  
By believing, you may have life in His name  
Oh-oh Oh-oh Oh-oh- Oh-oh  
Oh-oh Oh-oh Oh-oh- Oh-oh
"
115,So Much More,Sing God’s Word,2024,John 21:25,https://seedskidsworship.com/product/so-much-more-john-2125-esv/,https://open.spotify.com/track/5oJNW6oJrbAPTa3eFzQTgp,Contemplative song about the endless depth of Jesus' works and God's love from John 21:25,03-12-2024,3:03,Ages 6-12,Wonder & Mystery,"Now there are also many other things that Jesus did  
Now there are also many other things that Jesus did  
Were every one of them to be written, I suppose  
That the world itself could not contain the books that would be written  
No the world itself could not contain the books that would be written  
There’s so much more  
There’s so much more
"
163,Your Kingdom Come,Sing God’s Word,2024,Matthew 6:9–10,https://seedskidsworship.com/product/your-kingdom-come-matthew-69-10-esv/,https://open.spotify.com/track/3QMeb0t1AbiNjQgXl9PNxE,Prayer song teaching the Lord's Prayer from Matthew 6:9-10,03-12-2024,2:25,Ages 5-12,Prayer & Kingdom,"Our Father in heaven, Hallowed be Your Name  
Our Father in heaven, Hallowed be Your Name  
Your Kingdom come, Your will be done on earth as it is in heaven  
Your Kingdom come, Your will be done on earth as it is in heaven  
Your Kingdom come! Your Kingdom come!  
Your Kingdom come! Your Kingdom come!  
Our Father in heaven, Hallowed be Your Name  
Your Kingdom come, Your will be done on earth as it is in heaven  
Your Kingdom come! "
39,Every Tear,Sing God’s Word / The Great Jungle Journey,2024,Revelation 21:3–4,https://seedskidsworship.com/product/every-tear-revelation-214/,https://open.spotify.com/track/2A2TkXnpXmir6UpCDSiH1n,"From Revelation 21:3-4, this song comforts children with the promise that God will dwell with His people and wipe away every tear, assuring them that death, sorrow, crying and pain will one day be gone.",09/06/2024,2:56,Ages 3-12,Comfort & Hope,"Behold the dwelling place of God  
Is with man — he will dwell with them  
And they will be His people and  
God Himself will be with them  
As their God  

He will wipe away every tear from their eyes  
And death shall be no more  
Neither shall there be mourning nor crying  
Nor pain anymore  
He will wipe away every tear  
He will wipe away every tear  

For the former things have passed away  
For the former things have passed away  
For the former things have passed away
"
51,God Created,Sing God’s Word / The Great Jungle Journey,2024,Genesis 1:1,https://seedskidsworship.com/product/god-created-genesis-11/,https://open.spotify.com/track/4Xnr3J5YgAtJ8ZnjfSo57P,"From Genesis 1:1, this upbeat song celebrates that God is the Creator of heaven and earth, helping children marvel at His power and wisdom in making all things.",09/06/2024,2:34,Ages 3-12,Contemporary Scripture Song,"In the beginning God created the heavens and the earth  
In the beginning God created the heavens and the earth  
In the beginning God created the heavens and the earth  

Day one God created the light  
Day two God created the sky  
Day three the dry land and the seas  
All the wild plants and forests full of trees — yeah…  

Day four the sun, moon and stars  
Day five creatures that swim and fly  
Day six animals on the land  
And then God said, “Let us make man”  
Adam and Eve according to our plan  

And on the 7th day He rested  

Oh-oh-oh-oh-oh  
Oh-oh-oh-oh-oh  
Oh-oh-oh-oh-oh  
In the beginning God created the heavens and the earth"
109,Serve The Lord,Single,2024,Romans 12:11–13,https://seedskidsworship.com/product/serve-the-lord-romans-1211-13-esv/,https://open.spotify.com/track/3EcmxbP92rjTw2UDj26UkN,Energetic song encouraging wholehearted service to God with zeal from Romans 12:11-13,03-12-2024,2:57,Ages 5-12,Service & Dedication,
156,We Have Seen His Glory,Single,2024,John 1:14,https://seedskidsworship.com/product/we-have-seen-his-glory-john-114-esv/,https://open.spotify.com/track/2Et9QM1yaB9cnMdB7vS8XA,Worship song declaring we have seen Christ's glory from John 1:14,03-12-2024,3:00,Ages 6-12,Glory & Witness,
40,Eternal Life,The Armor Of God,2023,Proverbs 30:5,https://seedskidsworship.com/product/every-word-of-god-proverbs-305-2/,https://open.spotify.com/track/0ZMRqUgF1j94XmJ78eL4Xt,"This song from Proverbs 30:5 proclaims that every word of God is flawless and that He is a shield for those who take refuge in Him, encouraging children to trust and rely on God’s promises.",05/16/2023,2:39,Ages 3-12,Scripture Declaration,"Verse:
For God so loved the world
That He gave His one and only Son
God so loved the world
That He gave His one and only Son
Chorus:
That whoever believes in Him
Shall not perish but have eternal life
That whoever believes in Him
Shall not perish but have eternal life
Repeat Verse
Repeat Chorus (2x)
Tag:
God so loved the world
That He gave His one and only Son
(Repeat Tag 2x)
"
44,Fight For Your Family,The Armor Of God,2023,Nehemiah 4:14,https://seedskidsworship.com/product/fight-for-your-family-nehemiah-414/,https://open.spotify.com/track/1TDjWpINZG0wv9PCOFcH2i,"Based on Nehemiah 4:14, this energetic song urges families to stand firm and fight for their homes, remembering that God is great and fights alongside them.",05/16/2023,3:45,Ages 3-12,Courage & Strength,"Do not be afraid of them  
Remember the Lord  
Who is great and awesome  
Who is great and awesome  
Fight for your brothers  
Your sons and your daughters  
Your wives and your homes  
Your wives and your homes  
Oooooh  
Oooooh"
67,Helmets & Swords,The Armor Of God,2023,Ephesians 6:17–18,https://seedskidsworship.com/product/helmets-swords-ephesians-617-18/,https://open.spotify.com/track/1FR70suEmd6AZmrGu3oUXL,Spiritual warfare song teaching about the helmet of salvation and sword of the Spirit from Ephesians 6:17-18,05/19/2023,3:01,All Ages,Spiritual Warfare,"And take the helmet of salvation  
And the sword of the Spirit  
Which is the Word of God  
Which is the Word of God  
And take the helmet of salvation  
And the sword of the Spirit  
Which is the Word of God  
Which is the Word of God  
Praying at all times in the Spirit  
With all prayer and supplication  
To that end keep alert  
With all perseverance  
Making supplication for all of the saints  
Ohhhh, Ohhhh, Ohhhh, Ohh "
110,Shoes For Your Feet,The Armor Of God,2023,Ephesians 6:14–15,https://seedskidsworship.com/product/shoes-for-your-feet-ephesians-614-15-2/,https://open.spotify.com/track/4YvGKFEWnSLUt3o6cZgteX,Dynamic song about having feet fitted with gospel readiness from the armor of God passage Ephesians 6:14-15,03-12-2023,2:41,Ages 6-12,Armor & Warfare,"Stand therefore having fastened on the belt of truth  
And having put on the breastplate of righteousness  
Stand therefore having fastened on the belt of truth  
And having put on the breastplate of righteousness  
And as shoes for your feet  
Having put on the readiness  
Given by the gospel of peace  
And as shoes for your feet  
Having put on the readiness  
Given by the gospel of peace  
Sta - a - and  
Sta - a and 
"
117,Stand Firm,The Armor Of God,2023,Ephesians 6:12–13,https://seedskidsworship.com/product/stand-firm-ephesians-612-13-2/,https://open.spotify.com/track/7lmSaYElvAnxXEqjPxgSj7,Powerful song about standing firm against spiritual forces with God's armor from Ephesians 6:12-13,03-12-2023,3:44,Ages 6-12,Armor & Warfare,"For we do not wrestle against flesh and blood  
But against the rulers, against the authorities  
Against the cosmic powers over this present darkness  
Against the spiritual forces of evil in the heavenly places  
(Stand Firm) Therefore take up the whole armor of God  
That you may be able to withstand in the evil day  
And having done all  
To stand firm "
118,Take Captive Every Thought,The Armor Of God,2023,2 Corinthians 10:3–5,https://seedskidsworship.com/product/take-captive-every-thought/,https://open.spotify.com/track/0MI1kzCCimoafhB6JqqVtZ,Teaching song about taking captive every thought to obey Christ from 2 Corinthians 10:3-5,03-12-2023,2:39,Ages 7-12,Mind & Meditation,"Though we live in the world  
We don’t wage war as the world does  
The weapons that we fight with  
Aren’t the weapons of the world  
On the contrary, they have divine power  
To demolish strongholds  
We demolish arguments  
And every pretension that sets itself up  
Against the knowledge of God  
We take captive every thought  
And make it obedient to Christ  
We take captive every thought  
And make it obedient to Christ  
Heyyyy, Heyyyy, Heyyyy"
122,The Armor of God,The Armor Of God,2023,Ephesians 6:10–18,https://seedskidsworship.com/product/the-armor-of-god-ephesians-6-2/,https://open.spotify.com/track/1pmo30dmPtCF9EuE2Rq2W7,Comprehensive song covering all pieces of God's armor from Ephesians 6,03-12-2023,2:36,Ages 6-12,Armor & Protection,"The belt of truth (the belt of truth)  
The breastplate of righteousness (the breastplate of righteousness)  
And shoes for your feet (and shoes for your feet)  
Ready to take the Gospel of peace  
That’s how we put on the armor of God  
Hey, hey, hey, hey, hey, hey, hey  
Take up the shield of faith (take up the shield of faith)  
‘Cause flaming darts are coming your way  
And take the helmet of salvation  
And the sword of the Spirit, which is the Word of God  
We’re gonna pray, pray, pray  
Pray in the Spirit until the end of the day  
We’re gonna pray, pray, pray  
With all perseverance for all the saints  
Hey, hey, hey, hey, hey, hey, hey"
138,The Shield of Faith,The Armor Of God,2023,Ephesians 6:16,https://seedskidsworship.com/product/the-shield-of-faith-ephesians-616-2/,https://open.spotify.com/track/0Tjk2npDCJN4b5HGzCQQOI,Protective song about taking up the shield of faith from Ephesians 6:16,03-12-2023,2:54,Ages 6-12,Faith & Protection,"In all circumstances  
Take up the shield of faith  
With which you can extinguish  
All the flaming darts of the evil one  
Take up the shield of faith  
Yeah, take up the shield of faith  
Yeah, take up the shield of faith  
Yeah, take up the shield of faith  
La, la, la, la, la, la  
La, la, la, la, la, la  
The shield of faith!
"
52,God Is Creator,The Character of God,2012,Genesis 1:1–3,https://seedskidsworship.com/product/god-is-creator-genesis-11-3-2/,https://open.spotify.com/track/6pkyLVEalBJycnwEQ0S7WW,"Using Genesis 1:1-3, this song affirms that God is the Creator, whose Spirit moved over the waters and whose word brought light into the world.",09/26/2012,5:12,Ages 3-12,Scripture Song,"Verse:
In the beginning, God created the heavens and the earth
In the beginning, God created the heavens and the earth
Pre-Chorus:
The earth was without form and void
And darkness was over the face of the deep
And the Spirit of God
Was hovering over the face of the waters
Chorus:
In the beginning, God created the heavens and the earth
In the beginning, God created the heavens and the earth
In the beginning, God created the heavens and the earth
In the beginning, God created the heavens and the earth
The heavens and the earth
Repeat Pre-Chorus
Repeat Chorus
Bridge A:
And God said, “Let there be light”
And God said, “Let there be light”
And there was light, there was light
And God said, “Let there be light”
And God said, “Let there be light”
And there was light, there was light
Bridge B:
Let there be light! Let there be light! Let there be light!
And there was light, there was light
Let there be light! Let there be light! Let there be light!
And there was light, there was light, there was light!
Outro:
In the beginning, God created the heavens and the earth
In the beginning, God created the heavens and the earth
The heavens and the earth...


"
